2026-01-19 05:12:10.113 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-19 05:12:10.113 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-19 05:12:10.113 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:792 - Importing data
2026-01-19 05:12:10.113 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:814 - Using provided DataFrame
2026-01-19 05:12:10.114 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:890 - Prepreprocessing groups of df.shape=(192, 11)
2026-01-19 05:12:10.117 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:946 - Updated groups of processed_df.shape=(192, 11)
2026-01-19 05:12:10.117 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:863 - Clipping outliers with mean +/- 5SD
2026-01-19 05:12:10.120 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:870 - Data loaded in 0.01 seconds; df.shape = (192, 11)
2026-01-19 05:12:10.120 | WARNING  | synthefy_pkg.preprocessing.preprocess:process_data:2019 - Using stratified data split
2026-01-19 05:12:10.120 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-19 05:12:10.120 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-19 05:12:10.121 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-19 05:12:10.121 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-19 05:12:10.121 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-19 05:12:10.121 | INFO     | synthefy_pkg.preprocessing.preprocess:process_data:2072 - Reordering columns
2026-01-19 05:12:10.122 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_discrete:1311 - onehot encoding cols: ['gender_male']
2026-01-19 05:12:10.122 | WARNING  | synthefy_pkg.preprocessing.preprocess:encode_by_type:1267 - Using saved encoder for: onehot
2026-01-19 05:12:10.124 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_by_type:1277 - onehot encoded cols: 2
2026-01-19 05:12:10.125 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1518 - Started windowing
2026-01-19 05:12:10.125 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1357 - Started windowing
2026-01-19 05:12:10.125 | WARNING  | synthefy_pkg.preprocessing.preprocess:generate_windows:312 - About to generate 1 windows - this may consume significant memory!
2026-01-19 05:12:10.126 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1397 - Finished windowing, resulting: windows_3d_array.shape=(1, 192, 13)
2026-01-19 05:12:10.126 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1524 - Dividing into window types
2026-01-19 05:12:10.126 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1551 - num_timeseries: 0, num_continuous: 10, num_discrete: 2, num_original_discrete: 1
2026-01-19 05:12:10.126 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1554 - total_windows.shape: (1, 192, 13)
2026-01-19 05:12:10.209 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timeseries.shape = (1, 192, 0)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - continuous.shape = (1, 192, 10)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - discrete.shape = (1, 192, 2)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp.shape = (1, 192, 0)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp_conditions.shape = (0,)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_discrete.shape = (1, 192, 1)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_text.shape = (1, 192, 0)
2026-01-19 05:12:10.210 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1657 - Finished processing groups
2026-01-19 05:12:10.211 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-19 05:12:10.915 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-19 05:12:10.915 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-19 05:12:10.915 | INFO     | services.demo_synthesis_service:generate:463 - Running batched synthesis with 3 sample(s)...
2026-01-19 05:12:10.915 | INFO     | services.demo_synthesis_service:generate:476 - Batched conditions: continuous=(3, 192, 10), discrete=(3, 192, 2)
2026-01-19 05:12:16.094 | INFO     | services.demo_synthesis_service:experiment:172 - Loading synthesis config from: /home/raimi/synthefy-package-external/examples/configs/synthesis_configs/config_oura_subset_synthesis.yaml
2026-01-19 05:12:16.100 | INFO     | services.demo_synthesis_service:experiment:196 - Set random inference_seed: 42149
2026-01-19 05:12:16.100 | INFO     | services.demo_synthesis_service:experiment:198 - Using denoiser: flexible_patched_diffusion_transformer for model_type: flexible
2026-01-19 05:12:16.100 | INFO     | services.demo_synthesis_service:experiment:201 - Using task_type: synthesis
2026-01-19 05:12:16.106 | WARNING  | synthefy_pkg.configs.dataset_configs:set_constraint_parameters:137 - Will use predetermined_constraint_values from saved constraints from preprocessing
2026-01-19 05:45:04.707 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
2026-01-19 05:45:04.708 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:158 - Loaded encoders: ['onehot']
2026-01-19 05:45:04.708 | WARNING  | synthefy_pkg.preprocessing.base_config:get_configs:184 - Using configuration from file: /home/raimi/synthefy-package-external/examples/configs/preprocessing_configs/config_oura_subset_preprocessing.json
2026-01-19 05:45:04.708 | WARNING  | synthefy_pkg.preprocessing.base_config:__post_init__:139 - Using DEFAULT output path: /home/raimi/data/oura_subset
2026-01-19 05:45:04.708 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:734 - Memory monitoring not enabled: invalid configuration
2026-01-19 05:45:04.708 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_config:1071 - Train stride: 32, Val stride: 32, Test stride: 32
2026-01-19 05:45:04.708 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:757 - Shuffle is set to False in the preprocessing config file. Verify this is intended.
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:764 - Window size: 192
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:765 - Stride: 32
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:767 - Group labels: ['user_id']
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:768 - Timeseries columns: 3
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:769 - Continuous columns: 10
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:770 - Discrete columns: 1
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-19 05:45:04.709 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `awake_mins` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `age` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `low_activity_time` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `deep_mins` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `sleep_duration` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `restored_duration` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.709 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `non_wear_time` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.710 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `rem_mins` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.710 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `steps` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.710 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `active_calories` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:45:04.710 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-19 05:45:04.710 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `gender_male` of `discrete`, using default 'onehot' scaler info.
2026-01-19 05:45:04.710 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-19 05:45:04.710 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-19 05:45:04.710 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:792 - Importing data
2026-01-19 05:45:04.710 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:814 - Using provided DataFrame
2026-01-19 05:45:04.711 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:890 - Prepreprocessing groups of df.shape=(192, 11)
2026-01-19 05:45:04.714 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:946 - Updated groups of processed_df.shape=(192, 11)
2026-01-19 05:45:04.714 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:863 - Clipping outliers with mean +/- 5SD
2026-01-19 05:45:04.717 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:870 - Data loaded in 0.01 seconds; df.shape = (192, 11)
2026-01-19 05:45:04.717 | WARNING  | synthefy_pkg.preprocessing.preprocess:process_data:2019 - Using stratified data split
2026-01-19 05:45:04.717 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-19 05:45:04.717 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-19 05:45:04.717 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-19 05:45:04.718 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-19 05:45:04.718 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-19 05:45:04.718 | INFO     | synthefy_pkg.preprocessing.preprocess:process_data:2072 - Reordering columns
2026-01-19 05:45:04.718 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_discrete:1311 - onehot encoding cols: ['gender_male']
2026-01-19 05:45:04.719 | WARNING  | synthefy_pkg.preprocessing.preprocess:encode_by_type:1267 - Using saved encoder for: onehot
2026-01-19 05:45:04.720 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_by_type:1277 - onehot encoded cols: 2
2026-01-19 05:45:04.721 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1518 - Started windowing
2026-01-19 05:45:04.721 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1357 - Started windowing
2026-01-19 05:45:04.722 | WARNING  | synthefy_pkg.preprocessing.preprocess:generate_windows:312 - About to generate 1 windows - this may consume significant memory!
2026-01-19 05:45:04.722 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1397 - Finished windowing, resulting: windows_3d_array.shape=(1, 192, 13)
2026-01-19 05:45:04.723 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1524 - Dividing into window types
2026-01-19 05:45:04.723 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1551 - num_timeseries: 0, num_continuous: 10, num_discrete: 2, num_original_discrete: 1
2026-01-19 05:45:04.723 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1554 - total_windows.shape: (1, 192, 13)
2026-01-19 05:45:04.800 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timeseries.shape = (1, 192, 0)
2026-01-19 05:45:04.800 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - continuous.shape = (1, 192, 10)
2026-01-19 05:45:04.800 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - discrete.shape = (1, 192, 2)
2026-01-19 05:45:04.800 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp.shape = (1, 192, 0)
2026-01-19 05:45:04.800 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp_conditions.shape = (0,)
2026-01-19 05:45:04.801 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_discrete.shape = (1, 192, 1)
2026-01-19 05:45:04.801 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_text.shape = (1, 192, 0)
2026-01-19 05:45:04.801 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1657 - Finished processing groups
2026-01-19 05:45:04.802 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-19 05:45:05.521 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-19 05:45:05.522 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-19 05:45:05.522 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:550 - Loading scalers for timeseries
2026-01-19 05:45:05.522 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:574 - Loading column names for timeseries
2026-01-19 05:45:05.523 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `timeseries` with scalers: {'average_hrv': [{'scaler': StandardScaler()}], 'lowest_heart_rate': [{'scaler': StandardScaler()}], 'age_cva_diff': [{'scaler': StandardScaler()}]}
2026-01-19 05:45:05.523 | INFO     | services.demo_synthesis_service:generate:456 - Scaled timeseries for forecast, shape: (1, 3, 192)
2026-01-19 05:45:05.523 | INFO     | services.demo_synthesis_service:generate:463 - Running batched synthesis with 20 sample(s)...
2026-01-19 05:45:05.524 | INFO     | services.demo_synthesis_service:generate:476 - Batched conditions: continuous=(20, 192, 10), discrete=(20, 192, 2)
2026-01-19 05:45:10.692 | INFO     | services.demo_synthesis_service:experiment:172 - Loading synthesis config from: /home/raimi/synthefy-package-external/examples/configs/synthesis_configs/config_oura_subset_synthesis.yaml
2026-01-19 05:45:10.698 | INFO     | services.demo_synthesis_service:experiment:196 - Set random inference_seed: 14171
2026-01-19 05:45:10.698 | INFO     | services.demo_synthesis_service:experiment:198 - Using denoiser: flexible_patched_diffusion_transformer for model_type: flexible
2026-01-19 05:45:10.698 | INFO     | services.demo_synthesis_service:experiment:201 - Using task_type: forecast
2026-01-19 05:45:10.704 | WARNING  | synthefy_pkg.configs.dataset_configs:set_constraint_parameters:137 - Will use predetermined_constraint_values from saved constraints from preprocessing
2026-01-19 05:50:24.688 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
2026-01-19 05:50:24.689 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:158 - Loaded encoders: ['onehot']
2026-01-19 05:50:24.689 | WARNING  | synthefy_pkg.preprocessing.base_config:get_configs:184 - Using configuration from file: /home/raimi/synthefy-package-external/examples/configs/preprocessing_configs/config_oura_subset_preprocessing.json
2026-01-19 05:50:24.690 | WARNING  | synthefy_pkg.preprocessing.base_config:__post_init__:139 - Using DEFAULT output path: /home/raimi/data/oura_subset
2026-01-19 05:50:24.690 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:734 - Memory monitoring not enabled: invalid configuration
2026-01-19 05:50:24.691 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_config:1071 - Train stride: 32, Val stride: 32, Test stride: 32
2026-01-19 05:50:24.691 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:757 - Shuffle is set to False in the preprocessing config file. Verify this is intended.
2026-01-19 05:50:24.692 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:764 - Window size: 192
2026-01-19 05:50:24.692 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:765 - Stride: 32
2026-01-19 05:50:24.692 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:767 - Group labels: ['user_id']
2026-01-19 05:50:24.693 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:768 - Timeseries columns: 3
2026-01-19 05:50:24.693 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:769 - Continuous columns: 10
2026-01-19 05:50:24.694 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:770 - Discrete columns: 1
2026-01-19 05:50:24.694 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-19 05:50:24.695 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-19 05:50:24.695 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `awake_mins` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.696 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `age` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.696 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `low_activity_time` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.696 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `deep_mins` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.697 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `sleep_duration` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.697 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `restored_duration` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.698 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `non_wear_time` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.698 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `rem_mins` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.698 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `steps` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.699 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `active_calories` of `continuous`, using default 'standard' scaler info.
2026-01-19 05:50:24.699 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-19 05:50:24.700 | WARNING  | synthefy_pkg.preprocessing.preprocess:validate_scalers:1153 - Scaler info not specified for `gender_male` of `discrete`, using default 'onehot' scaler info.
2026-01-19 05:50:24.700 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-19 05:50:24.701 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-19 05:50:24.702 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:792 - Importing data
2026-01-19 05:50:24.702 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:814 - Using provided DataFrame
2026-01-19 05:50:24.703 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:890 - Prepreprocessing groups of df.shape=(192, 11)
2026-01-19 05:50:24.707 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups_and_timestamps:946 - Updated groups of processed_df.shape=(192, 11)
2026-01-19 05:50:24.707 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:863 - Clipping outliers with mean +/- 5SD
2026-01-19 05:50:24.711 | INFO     | synthefy_pkg.preprocessing.preprocess:load_and_prep_rawdata:870 - Data loaded in 0.01 seconds; df.shape = (192, 11)
2026-01-19 05:50:24.711 | WARNING  | synthefy_pkg.preprocessing.preprocess:process_data:2019 - Using stratified data split
2026-01-19 05:50:24.711 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `timeseries` scalers info
2026-01-19 05:50:24.712 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `continuous` scalers info
2026-01-19 05:50:24.713 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `discrete` scalers info
2026-01-19 05:50:24.714 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1140 - Validating `group_labels` scalers info
2026-01-19 05:50:24.714 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_scalers:1191 - Scalers and encoders validated successfully.
2026-01-19 05:50:24.715 | INFO     | synthefy_pkg.preprocessing.preprocess:process_data:2072 - Reordering columns
2026-01-19 05:50:24.716 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_discrete:1311 - onehot encoding cols: ['gender_male']
2026-01-19 05:50:24.717 | WARNING  | synthefy_pkg.preprocessing.preprocess:encode_by_type:1267 - Using saved encoder for: onehot
2026-01-19 05:50:24.719 | INFO     | synthefy_pkg.preprocessing.preprocess:encode_by_type:1277 - onehot encoded cols: 2
2026-01-19 05:50:24.720 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1518 - Started windowing
2026-01-19 05:50:24.721 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1357 - Started windowing
2026-01-19 05:50:24.721 | WARNING  | synthefy_pkg.preprocessing.preprocess:generate_windows:312 - About to generate 1 windows - this may consume significant memory!
2026-01-19 05:50:24.723 | INFO     | synthefy_pkg.preprocessing.preprocess:reshape_for_timeseries:1397 - Finished windowing, resulting: windows_3d_array.shape=(1, 192, 13)
2026-01-19 05:50:24.723 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1524 - Dividing into window types
2026-01-19 05:50:24.724 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1551 - num_timeseries: 0, num_continuous: 10, num_discrete: 2, num_original_discrete: 1
2026-01-19 05:50:24.724 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1554 - total_windows.shape: (1, 192, 13)
2026-01-19 05:50:24.814 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timeseries.shape = (1, 192, 0)
2026-01-19 05:50:24.815 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - continuous.shape = (1, 192, 10)
2026-01-19 05:50:24.815 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - discrete.shape = (1, 192, 2)
2026-01-19 05:50:24.816 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp.shape = (1, 192, 0)
2026-01-19 05:50:24.816 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - timestamp_conditions.shape = (0,)
2026-01-19 05:50:24.817 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_discrete.shape = (1, 192, 1)
2026-01-19 05:50:24.817 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1625 - original_text.shape = (1, 192, 0)
2026-01-19 05:50:24.817 | INFO     | synthefy_pkg.preprocessing.preprocess:process_groups:1657 - Finished processing groups
2026-01-19 05:50:24.819 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-19 05:50:25.588 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-19 05:50:25.588 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-19 05:50:25.589 | INFO     | services.demo_synthesis_service:generate:463 - Running batched synthesis with 20 sample(s)...
2026-01-19 05:50:25.589 | INFO     | services.demo_synthesis_service:generate:476 - Batched conditions: continuous=(20, 192, 10), discrete=(20, 192, 2)
2026-01-19 05:50:30.597 | INFO     | services.demo_synthesis_service:experiment:172 - Loading synthesis config from: /home/raimi/synthefy-package-external/examples/configs/synthesis_configs/config_oura_subset_synthesis.yaml
2026-01-19 05:50:30.604 | INFO     | services.demo_synthesis_service:experiment:196 - Set random inference_seed: 34077
2026-01-19 05:50:30.605 | INFO     | services.demo_synthesis_service:experiment:198 - Using denoiser: flexible_patched_diffusion_transformer for model_type: flexible
2026-01-19 05:50:30.605 | INFO     | services.demo_synthesis_service:experiment:201 - Using task_type: synthesis
2026-01-19 05:50:30.612 | WARNING  | synthefy_pkg.configs.dataset_configs:set_constraint_parameters:137 - Will use predetermined_constraint_values from saved constraints from preprocessing
2026-01-19 16:47:50.188 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
